User Class	Origin	Destination	Interval	Type	Probability of Choice	Vehicles Generated	Vehicles Arrived	Cost	Distance	Travel Time	Travel Time Deviation	Speed
163: Car	60796: I6	61625: I23	1970-01-02T14:00:00	Mixed		7 (100.00)	3	0	7857.78	1465.31	395.087	19.3052
163: Car	60796: I6	61634: I24	1970-01-02T14:00:00	RC		4 (100.00)	0	0	7300.19	0	0	
163: Car	60796: I6	61185: I12	1970-01-02T14:00:00	RC		45 (100.00)	29	0	2375.39	165.118	11.813	51.7896
163: Car	60796: I6	61685: I25	1970-01-02T14:00:00	Mixed		8 (100.00)	3	0	7296.59	1090.94	1097.45	24.078
163: Car	60796: I6	61889: I27	1970-01-02T14:00:00	Mixed		5 (100.00)	1	0	7655.76	3425.57	0	8.04559
163: Car	60796: I6	61922: I28	1970-01-02T14:00:00	RC		134 (100.00)	134	0	463.404	39.1282	2.77631	42.6356
163: Car	60796: I6	61770: I26	1970-01-02T14:00:00	Mixed		17 (100.00)	8	0	6904.59	1522.41	2153.37	16.3271
163: Car	60796: I6	61576: I22	1970-01-02T14:00:00	Mixed		8 (100.00)	0	0	5492.51	0	0	
163: Car	60796: I6	61270: I13	1970-01-02T14:00:00	RC		7 (100.00)	2	0	2762.64	224.965	12.998	44.2092
163: Car	60796: I6	61281: I14	1970-01-02T14:00:00	RC		30 (100.00)	17	0	2030.18	140.012	7.80786	52.2003
163: Car	60796: I6	61551: I21	1970-01-02T14:00:00	Mixed		8 (100.00)	2	0	7865.54	2193.06	516.968	12.9116
163: Car	60796: I6	61320: I15	1970-01-02T14:00:00	RC		4 (100.00)	4	0	3593.26	257.62	7.26288	50.2124
163: Car	60796: I6	61340: I17	1970-01-02T14:00:00	RC		10 (100.00)	8	0	3840.45	294.135	23.3024	47.0043
163: Car	60796: I6	61479: I20	1970-01-02T14:00:00	RC		24 (100.00)	5	0	3762.75	2452.42	4891.04	5.52347
163: Car	60796: I6	61369: I18	1970-01-02T14:00:00	RC		14 (100.00)	8	0	4375.39	334.539	19.3226	47.084
163: Car	60796: I6	61444: I19	1970-01-02T14:00:00	Mixed		15 (100.00)	2	0	5155.73	324.506	2.22479	57.1966
163: Car	60941: I7	62038: I30	1970-01-02T14:00:00	Mixed		36 (100.00)	17	0	3837.76	1834.87	2353.49	7.52966
163: Car	61153: I10	60609: I2	1970-01-02T14:00:00	Mixed		1 (100.00)	0	0	11535.7	0	0	
163: Car	61153: I10	60690: I3	1970-01-02T14:00:00	Mixed		3 (100.00)	2	0	9155.12	6027.14	474.17	5.46834
163: Car	60941: I7	62101: E12	1970-01-02T14:00:00	RC		107 (100.00)	80	0	2773.72	208.526	12.7334	47.8857
163: Car	61153: I10	60715: I4	1970-01-02T14:00:00	Mixed		102 (100.00)	102	0	2550.85	181.452	33.2745	50.6087
163: Car	61153: I10	60941: I7	1970-01-02T14:00:00	RC		1 (100.00)	1	0	2431.21	104.107	0	84.0708
163: Car	61153: I10	61034: I8	1970-01-02T14:00:00	RC		6 (100.00)	4	0	884.858	1102.69	2097.07	2.88884
163: Car	61153: I10	60796: I6	1970-01-02T14:00:00	RC		10 (100.00)	10	0	1746.79	127.392	8.90572	49.3628
163: Car	61153: I10	60509: I1	1970-01-02T14:00:00	Mixed		5 (100.00)	2	0	7275.14	7005.01	758.537	3.73883
163: Car	61034: I8	62105: E6	1970-01-02T14:00:00	RC		178 (100.00)	121	0	3120.63	202.74	15.4065	55.4122
163: Car	61034: I8	62106: E5	1970-01-02T14:00:00	Mixed		247 (100.00)	134	0	2844.63	194.848	18.3191	52.5572
163: Car	61034: I8	62116: E19	1970-01-02T14:00:00	RC		6 (100.00)	0	0	5467.23	0	0	
163: Car	61034: I8	62107: E13	1970-01-02T14:00:00	Mixed		614 (100.00)	302	0	2344.65	110.817	6.59386	76.1682
163: Car	61034: I8	62109: E15	1970-01-02T14:00:00	RC		1 (100.00)	1	0	514.703	39.4645	0	46.9518
163: Car	61034: I8	62115: E20	1970-01-02T14:00:00	RC		828 (100.00)	4	0	5126.47	18011.9	102.535	1.02462
163: Car	61034: I8	62111: E4	1970-01-02T14:00:00	Mixed		800 (100.00)	367	0	7036.22	2827.27	2780.12	8.9593
163: Car	61034: I8	62113: E21	1970-01-02T14:00:00	RC		670 (100.00)	13	0	4788.35	18043.2	199.296	0.955374
163: Car	61153: I10	61185: I12	1970-01-02T14:00:00	RC		4 (100.00)	3	0	1767.87	2681.6	4470.72	2.37333
163: Car	61153: I10	62038: I30	1970-01-02T14:00:00	RC		1 (100.00)	1	0	4665.92	177.724	0	94.5133
163: Car	61153: I10	62101: E12	1970-01-02T14:00:00	RC		16 (100.00)	13	0	2408.42	150.021	14.1787	57.794
163: Car	61153: I10	61270: I13	1970-01-02T14:00:00	RC		1 (100.00)	0	0	3137.08	0	0	
163: Car	61153: I10	62105: E6	1970-01-02T14:00:00	Mixed		21 (100.00)	13	0	5517.68	224.697	52.6378	88.402
163: Car	61153: I10	62107: E13	1970-01-02T14:00:00	RC		25 (100.00)	22	0	1552.13	64.7561	6.4536	86.2879
163: Car	61153: I10	62111: E4	1970-01-02T14:00:00	Mixed		63 (100.00)	38	0	6245.23	1489.69	2303.39	15.0923
163: Car	61153: I10	62106: E5	1970-01-02T14:00:00	Mixed		21 (100.00)	10	0	5711.63	723.256	1874.49	28.4296
163: Car	61153: I10	62025: I29	1970-01-02T14:00:00	RC		1 (100.00)	1	0	5199.19	204.151	0	91.6826
163: Car	61153: I10	61281: I14	1970-01-02T14:00:00	RC		3 (100.00)	2	0	2638.84	187.468	28.6547	50.6744
163: Car	61153: I10	61369: I18	1970-01-02T14:00:00	Mixed		6 (100.00)	0	0	7657.07	0	0	
163: Car	61153: I10	61922: I28	1970-01-02T14:00:00	RC		2 (100.00)	2	0	1683	104.347	1.82665	58.064
163: Car	61153: I10	61444: I19	1970-01-02T14:00:00	RC		4 (100.00)	2	0	4303.26	245.613	10.0331	63.0739
163: Car	61153: I10	61479: I20	1970-01-02T14:00:00	RC		2 (100.00)	0	0	2945.31	0	0	
163: Car	61153: I10	61685: I25	1970-01-02T14:00:00	Mixed		1 (100.00)	1	0	7455.3	2122.43	0	12.6455
163: Car	61153: I10	61551: I21	1970-01-02T14:00:00	Mixed		4 (100.00)	3	0	7494.01	5415.54	1961.05	4.98167
163: Car	61153: I10	61625: I23	1970-01-02T14:00:00	Mixed		2 (100.00)	2	0	7455.3	3386.94	1198.03	7.92427
163: Car	61034: I8	62101: E12	1970-01-02T14:00:00	RC		412 (100.00)	201	0	3105.77	180.55	13.9412	61.9261
163: Car	61034: I8	60690: I3	1970-01-02T14:00:00	Mixed		13 (100.00)	10	0	7907.83	1768.32	2279.04	16.099
163: Car	61034: I8	60715: I4	1970-01-02T14:00:00	RC		61 (100.00)	25	0	2432.77	183.346	12.2931	47.7675
163: Car	61034: I8	62038: I30	1970-01-02T14:00:00	Mixed		23 (100.00)	9	0	5893.93	863.02	1843.9	24.5859
163: Car	61034: I8	60796: I6	1970-01-02T14:00:00	RC		93 (100.00)	57	0	1767.74	130.418	8.17821	48.7959
163: Car	61034: I8	61153: I10	1970-01-02T14:00:00	RC		6 (100.00)	6	0	1027.15	63.1016	2.65487	58.5997
163: Car	61034: I8	61160: I11	1970-01-02T14:00:00	RC		11 (100.00)	6	0	1868.21	133.4	11.4609	50.4167
163: Car	61034: I8	60941: I7	1970-01-02T14:00:00	Mixed		141 (100.00)	108	0	590.265	54.3487	13.6463	39.0986
